AFC,NFC,AFC Q1,AFC Q2,AFC Q3,AFC Q4,NFC Q1,NFC Q2,NFC Q3,NFC Q4
Kansas City Chiefs,Green Bay Packers,0,0,0,0,7,4,8,5
Oakland Raiders,Green Bay Packers,0,7,7,4,3,6,6,3
New York Jets,Baltimore Colts,0,7,3,6,0,0,0,7
Kansas City Chiefs,Minnesota Vikings,3,6,3,3,0,0,7,7
Baltimore Colts,Dallas Cowboys,0,6,6,6,3,3,3,3
Miami Dolphins,Dallas Cowboys,0,3,3,3,3,0,7,4
Miami Dolphins,Washington Redskins,7,4,4,4,0,0,0,7
Miami Dolphins,Minnesota Vikings,4,7,4,4,0,0,0,7
Pittsburgh Steelers,Minnesota Vikings,0,2,9,6,0,0,0,6
Pittsburgh Steelers,Dallas Cowboys,7,7,7,1,7,0,0,7
Oakland Raiders,Minnesota Vikings,0,6,9,2,0,0,7,4
Denver Broncos,Dallas Cowboys,0,0,0,0,0,3,0,7
Pittsburgh Steelers,Dallas Cowboys,7,1,1,5,7,4,7,1
Pittsburgh Steelers,Los Angeles Rams,3,0,7,1,7,3,9,9
Oakland Raiders,Philadelphia Eagles,4,4,4,7,0,3,3,0
Cincinnati Bengals,San Francisco 49ers,0,0,7,1,7,0,0,6
Miami Dolphins,Washington Redskins,7,7,7,7,0,0,3,7
Los Angeles Raiders,Washington Redskins,7,1,5,8,0,3,9,9
Miami Dolphins,San Francisco 49ers,0,6,6,6,7,8,8,8
New England Patriots,Chicago Bears,3,3,3,0,3,3,4,6
Denver Broncos,New York Giants,0,0,0,0,7,9,6,9
Denver Broncos,Washington Redskins,0,0,0,0,0,5,5,2
Cincinnati Bengals,San Francisco 49ers,0,3,3,6,3,3,6,0
Denver Broncos,San Francisco 49ers,3,3,0,0,3,7,1,5
Buffalo Bills,New York Giants,3,2,2,9,3,0,7,0
Buffalo Bills,Washington Redskins,0,0,0,4,0,7,1,7
Buffalo Bills,Dallas Cowboys,7,0,7,7,4,8,1,2
Buffalo Bills,Dallas Cowboys,3,3,3,3,6,6,0,0
San Diego Chargers,San Francisco 49ers,7,0,8,6,4,8,2,9
Pittsburgh Steelers,Dallas Cowboys,0,7,7,7,0,3,0,7
New England Patriots,Green Bay Packers,4,4,1,1,0,7,5,5
Denver Broncos,Green Bay Packers,7,7,4,1,7,4,7,4
Denver Broncos,Atlanta Falcons,7,7,7,4,3,6,6,9
Tennessee Titans,St. Louis Rams,0,0,6,6,3,9,6,3
Baltimore Ravens,New York Giants,7,0,4,4,0,0,7,7
New England Patriots,St. Louis Rams,0,4,7,0,3,3,3,7
Oakland Raiders,Tampa Bay Buccaneers,3,3,9,1,3,0,4,8
New England Patriots,Carolina Panthers,0,4,4,2,0,0,0,9
New England Patriots,Philadelphia Eagles,0,7,4,4,0,7,4,1
Pittsburgh Steelers,Seattle Seahawks,0,7,4,1,3,3,0,0
Indianapolis Colts,Chicago Bears,6,6,2,9,4,4,7,7
New England Patriots,New York Giants,0,7,7,4,3,3,3,7
Pittsburgh Steelers,Arizona Cardinals,3,7,0,7,0,7,7,3
Indianapolis Colts,New Orleans Saints,0,0,7,7,0,6,6,1
Pittsburgh Steelers,Green Bay Packers,0,0,7,5,4,1,1,1
New England Patriots,New York Giants,0,0,7,7,9,9,5,1
Baltimore Ravens,San Francisco 49ers,7,1,8,4,3,6,3,1
Denver Broncos,Seattle Seahawks,0,0,8,8,8,2,6,3
New England Patriots,Seattle Seahawks,0,4,4,8,0,4,4,4
Denver Broncos,Carolina Panthers,0,3,6,4,0,7,7,0
New England Patriots,Atlanta Falcons,0,3,9,8,0,1,8,8
New England Patriots,Philadelphia Eagles,3,2,6,3,9,2,9,1
New England Patriots,Los Angeles Rams,0,3,3,3,0,0,3,3
Kansas City Chiefs,San Francisco 49ers,7,0,0,1,3,0,0,0
Kansas City Chiefs,Tampa Bay Buccaneers,3,6,9,9,7,1,1,1
