AFC,NFC
Kansas City Chiefs,Green Bay Packers
Oakland Raiders,Green Bay Packers
New York Jets,Baltimore Colts
Minnesota Vikings,Kansas City Chiefs
Dallas Cowboys,Baltimore Colts
Miami Dolphins,Dallas Cowboys
Washington Redskins,Miami Dolphins
Minnesota Vikings,Miami Dolphins
Pittsburgh Steelers,Minnesota Vikings
Pittsburgh Steelers,Dallas Cowboys
Oakland Raiders,Minnesota Vikings
Denver Broncos,Dallas Cowboys
Pittsburgh Steelers,Dallas Cowboys
Los Angeles Rams,Pittsburgh Steelers
Oakland Raiders,Philadelphia Eagles
San Francisco 49ers,Cincinnati Bengals
Washington Redskins,Miami Dolphins
Washington Redskins,Los Angeles Raiders
San Francisco 49ers,Miami Dolphins
New England Patriots,Chicago Bears
New York Giants,Denver Broncos
Washington Redskins,Denver Broncos
San Francisco 49ers,Cincinnati Bengals
San Francisco 49ers,Denver Broncos
New York Giants,Buffalo Bills
Washington Redskins,Buffalo Bills
Dallas Cowboys,Buffalo Bills
Dallas Cowboys,Buffalo Bills
San Francisco 49ers,San Diego Chargers
Pittsburgh Steelers,Dallas Cowboys
New England Patriots,Green Bay Packers
Green Bay Packers,Denver Broncos
Denver Broncos,Atlanta Falcons
St. Louis Rams,Tennessee Titans
Baltimore Ravens,New York Giants
St. Louis Rams,New England Patriots
Tampa Bay Buccaneers,Oakland Raiders
New England Patriots,Carolina Panthers
Philadelphia Eagles,New England Patriots
Seattle Seahawks,Pittsburgh Steelers
Indianapolis Colts,Chicago Bears
New York Giants,New England Patriots
Pittsburgh Steelers,Arizona Cardinals
New Orleans Saints,Indianapolis Colts
Pittsburgh Steelers,Green Bay Packers
New York Giants,New England Patriots
San Francisco 49ers,Baltimore Ravens
Seattle Seahawks,Denver Broncos
Seattle Seahawks,New England Patriots
Denver Broncos,Carolina Panthers
New England Patriots,Atlanta Falcons
Philadelphia Eagles,New England Patriots
Los Angeles Rams,New England Patriots
San Francisco 49ers,Kansas City Chiefs
Tampa Bay Buccaneers,Kansas City Chiefs
